,PRICES,PRICE:
0,$25.00,"$19.00
      
"
1,$44.00,"$20.00
      
"
2,$24.00,"$24.00
      
"
3,$25.00,"$25.00
      
"
4,$25.00,"$25.00
      
"
5,$27.00,"$27.00
      
"
6,$28.00,"$28.00
      
"
7,$28.00,"$28.00
      
"
8,$28.00,"$28.00
      
"
9,$28.00,"$28.00
      
"
10,$39.00,"$28.00
      
"
11,$39.00,"$28.00
      
"
12,$30.00,"$30.00
      
"
13,$30.00,"$30.00
      
"
14,$32.00,"$32.00
      
"
15,$32.99,"$32.99
      
"
16,$34.00,"$34.00
      
"
17,$44.00,"$35.00
      
"
18,$36.00,"$36.00
      
"
19,$36.00,"$36.00
      
"
20,$36.00,"$36.00
      
"
21,$37.00,"$37.00
      
"
22,$37.00,"$37.00
      
"
23,$38.00,"$38.00
      
"
24,$38.00,"$38.00
      
"
25,$38.05,"$38.05
      
"
26,$40.00,"$40.00
      
"
27,old out,"$40.00
      
"
28,$40.00,"$40.00
      
"
29,$40.00,"$40.00
      
"
30,$40.00,"$40.00
      
"
31,$40.00,"$40.00
      
"
