,PRICES,PRICE:
0,$38.00,"$18.00
      
"
1,$19.99,"$19.99
      
"
2,$42.00,"$24.00
      
"
3,$28.00,"$28.00
      
"
4,$28.00,"$28.00
      
"
5,$39.00,"$29.00
      
"
6,$44.00,"$29.00
      
"
7,$29.99,"$29.99
      
"
8,old out,"$30.00
      
"
9,old out,"$30.00
      
"
10,old out,"$30.00
      
"
11,$30.00,"$30.00
      
"
12,$32.00,"$32.00
      
"
13,old out,"$32.99
      
"
14,old out,"$35.00
      
"
15,$35.00,"$35.00
      
"
16,$35.00,"$35.00
      
"
17,$35.00,"$35.00
      
"
18,$36.00,"$36.00
      
"
19,old out,"$36.00
      
"
20,old out,"$36.00
      
"
21,$36.00,"$36.00
      
"
22,$40.00,"$37.00
      
"
23,$37.00,"$37.00
      
"
24,$37.00,"$37.00
      
"
25,$38.00,"$38.00
      
"
26,old out,"$38.00
      
"
27,$38.00,"$38.00
      
"
28,$38.00,"$38.00
      
"
29,$38.00,"$38.00
      
"
30,$39.00,"$39.00
      
"
31,old out,"$39.00
      
"
