,DESCRIPTION:
0,Look Like Royalty Dress In Black
1,Sunrise Tank Dress
2,Vibrant Stripes Midi Dress
3,Let's Layer In Black
4,Let's Layer In White
5,It's A Thermal Wrap Dress
6,Button Up Asymmetrical Hem Dress
7,Belted Corduroy Paper Bag Skirt
8,"Black, White + Red Hot All Over Dress"
9,Fallin' For Stripes Shirt Dress
10,Play The Day Away Maxi In Black
11,Take The Season By Storm T-Shirt Dress
12,Last Blooms Of Summer Dress
13,Princess Sparkle
14,Skin In The Game Maxi Dress
15,Minty Leopard Print Maxi
16,Smile Sparkle Shine Velvet Dress In Black- All Sales Final
17,Smile Sparkle Shine Velvet Dress In Champagne- All Sales Final
18,Sassy Striped T-Shirt Dress
19,Smocked Waist Tie Dye Dress
20,Fun + Flirty Dress In Black
21,Golden Girl Smocked Neck Dress
22,Lovely Lace Overlay Dress In Black
23,Tread Softly Striped Midi Dress
24,Hot & Bothered Pencil Skirt
25,To The Max Floral Maxi Dress
26,Peacock Double Ruffle V-Neck Dress
27,Chillax Summer Maxi In Sage
28,Chillax Summer Maxi In Royal Blue
29,Chillax Summer Maxi In Magenta
30,Sailing Through Summer Striped Dress
31,Splendid Summer Sundress
