,PRICES,PRICE:
0,$19.99,"$19.99
      
"
1,$19.99,"$19.99
      
"
2,$20.00,"$20.00
      
"
3,$20.00,"$20.00
      
"
4,$20.00,"$20.00
      
"
5,$29.00,"$20.00
      
"
6,$30.00,"$24.00
      
"
7,$32.00,"$25.00
      
"
8,$32.00,"$25.00
      
"
9,$32.00,"$25.00
      
"
10,$32.00,"$25.00
      
"
11,$25.00,"$25.00
      
"
12,$25.00,"$25.00
      
"
13,$25.00,"$25.00
      
"
14,$25.00,"$25.00
      
"
15,$25.00,"$25.00
      
"
16,$25.00,"$25.00
      
"
17,$25.00,"$25.00
      
"
18,$25.00,"$25.00
      
"
19,$29.00,"$29.00
      
"
20,$29.00,"$29.00
      
"
21,$30.00,"$30.00
      
"
22,$30.00,"$30.00
      
"
23,$32.00,"$32.00
      
"
24,$32.00,"$32.00
      
"
25,$32.00,"$32.00
      
"
26,$34.00,"$34.00
      
"
