,PRICES,PRICE:
0,$16.00,"$16.00
      
"
1,$16.00,"$16.00
      
"
2,$38.00,"$18.00
      
"
3,$19.99,"$19.99
      
"
4,$20.00,"$20.00
      
"
5,$20.00,"$20.00
      
"
6,$20.00,"$20.00
      
"
7,$29.00,"$20.00
      
"
8,$44.00,"$20.00
      
"
9,$45.00,"$24.00
      
"
10,$24.00,"$24.00
      
"
11,$24.00,"$24.00
      
"
12,$24.00,"$24.00
      
"
13,$24.00,"$24.00
      
"
14,$24.00,"$24.00
      
"
15,$45.00,"$25.00
      
"
16,$25.00,"$25.00
      
"
17,$32.00,"$25.00
      
"
18,$32.00,"$25.00
      
"
19,$32.00,"$25.00
      
"
20,$32.00,"$25.00
      
"
21,$25.00,"$25.00
      
"
22,$45.00,"$25.00
      
"
23,$25.00,"$25.00
      
"
24,$25.00,"$25.00
      
"
25,$25.00,"$25.00
      
"
26,$25.00,"$25.00
      
"
27,$25.00,"$25.00
      
"
28,$25.00,"$25.00
      
"
29,$30.00,"$26.00
      
"
30,$27.00,"$27.00
      
"
31,$28.00,"$28.00
      
"
