,PRICES,PRICE:
0,$16.00,"$16.00
      
"
1,$16.00,"$16.00
      
"
2,$24.00,"$24.00
      
"
3,$25.00,"$25.00
      
"
4,$30.00,"$26.00
      
"
5,$26.00,"$26.00
      
"
6,$39.00,"$27.00
      
"
7,$28.00,"$28.00
      
"
8,$30.00,"$30.00
      
"
9,$32.00,"$32.00
      
"
10,$32.00,"$32.00
      
"
11,$34.00,"$34.00
      
"
12,$35.00,"$35.00
      
"
13,$36.00,"$36.00
      
"
14,$36.00,"$36.00
      
"
15,$36.00,"$36.00
      
"
16,$38.00,"$38.00
      
"
17,$38.00,"$38.00
      
"
18,$39.00,"$39.00
      
"
19,$39.00,"$39.00
      
"
20,$39.00,"$39.00
      
"
21,$40.00,"$40.00
      
"
22,$40.00,"$40.00
      
"
23,$40.00,"$40.00
      
"
24,$42.00,"$42.00
      
"
25,$42.00,"$42.00
      
"
26,$42.30,"$42.30
      
"
27,$43.00,"$43.00
      
"
28,$44.00,"$44.00
      
"
29,$44.00,"$44.00
      
"
30,$44.00,"$44.00
      
"
31,$44.00,"$44.00
      
"
