,PRICES,PRICE:
0,old out,"$6.00
      
"
1,old out,"$9.00
      
"
2,$10.00,"$10.00
      
"
3,$10.00,"$10.00
      
"
4,$10.00,"$10.00
      
"
5,$10.00,"$10.00
      
"
6,$10.00,"$10.00
      
"
7,old out,"$12.00
      
"
8,old out,"$12.00
      
"
9,old out,"$12.00
      
"
10,$12.00,"$12.00
      
"
11,$12.50,"$12.50
      
"
12,$14.00,"$14.00
      
"
13,$14.00,"$14.00
      
"
14,$14.00,"$14.00
      
"
15,$15.00,"$15.00
      
"
16,$15.00,"$15.00
      
"
17,old out,"$16.00
      
"
18,$16.00,"$16.00
      
"
19,$16.00,"$16.00
      
"
20,$16.00,"$16.00
      
"
21,$16.00,"$16.00
      
"
22,old out,"$18.00
      
"
23,old out,"$18.00
      
"
24,$18.00,"$18.00
      
"
25,$18.00,"$18.00
      
"
26,$18.00,"$18.00
      
"
27,$18.00,"$18.00
      
"
28,$18.00,"$18.00
      
"
29,old out,"$19.00
      
"
30,$19.00,"$19.00
      
"
31,$20.00,"$20.00
      
"
