,PRICES,PRICE:
0,$38.00,"$19.00
      
"
1,$38.00,"$19.00
      
"
2,$25.00,"$19.00
      
"
3,$32.00,"$19.00
      
"
4,$19.99,"$19.99
      
"
5,$20.00,"$20.00
      
"
6,$45.00,"$24.00
      
"
7,old out,"$24.00
      
"
8,$24.00,"$24.00
      
"
9,$24.00,"$24.00
      
"
10,$24.00,"$24.00
      
"
11,$24.00,"$24.00
      
"
12,$25.00,"$25.00
      
"
13,$32.00,"$25.00
      
"
14,$45.00,"$25.00
      
"
15,$45.00,"$25.00
      
"
16,$25.00,"$25.00
      
"
17,$25.00,"$25.00
      
"
18,$25.00,"$25.00
      
"
19,$25.00,"$25.00
      
"
20,$25.00,"$25.00
      
"
21,$25.00,"$25.00
      
"
22,$26.00,"$26.00
      
"
23,$27.00,"$27.00
      
"
24,$27.00,"$27.00
      
"
25,$27.00,"$27.00
      
"
26,$27.00,"$27.00
      
"
27,$28.00,"$28.00
      
"
28,$28.00,"$28.00
      
"
29,$28.00,"$28.00
      
"
30,$29.00,"$29.00
      
"
31,$29.00,"$29.00
      
"
