,DESCRIPTION:_Angle of Destruction Skinny Jeans,DESCRIPTION:_Basic Black Skinny Jeans,DESCRIPTION:_Black Criss Cross Romper,DESCRIPTION:_Black Mamba Snakeskin Leggings,DESCRIPTION:_Blue For You Skinnies,DESCRIPTION:_Business Casual Pinstriped Shorts,DESCRIPTION:_Camouflage Jumpsuit,DESCRIPTION:_Casual  Cozy Chenille Pants,DESCRIPTION:_Clarissa Cropped Trousers,DESCRIPTION:_Cropped Wide Leg Jumpsuit,DESCRIPTION:_Distressed Dark Gray Modern Moto Jeans,DESCRIPTION:_Fade Away Ombre Athletic Leggings,DESCRIPTION:_Fall Fantasy Striped Romper,DESCRIPTION:_Fleece Lined Leggings In Burgundy,DESCRIPTION:_Fleece Lined Leggings In Olive,DESCRIPTION:_Flutter Sleeve Blush Romper,DESCRIPTION:_Great Lengths Cuffed Girlfriend Jeans,DESCRIPTION:_Josie Black Jumpsuit,DESCRIPTION:_Jump For Joy Navy Jumpsuit,DESCRIPTION:_Let The Animal Out Jeans,DESCRIPTION:_Lounge Around Town Joggers In Light Gray,DESCRIPTION:_Preppy Pinstriped Jumpsuit,DESCRIPTION:_Rock â€˜nâ€™ Roll Vegan Leather Moto Leggings,DESCRIPTION:_Rough Around The Edges Skinny Jeans,DESCRIPTION:_Ruched Waist Wide Leg Pants,DESCRIPTION:_Side Slit Light Wash Bermuda Shorts,DESCRIPTION:_Skull Jeans,DESCRIPTION:_Soft Spot Joggers Plus,DESCRIPTION:_Stars and Stripes Pockets,DESCRIPTION:_Striped Paper Bag Shorts,DESCRIPTION:_Tea Distressed Jeans,DESCRIPTION:_Ups and Downs Jumpsuit In Charcoal,PRICE:
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.00      
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.00      
2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.00      
3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.00      
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26.00      
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,26.00      
6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.00      
7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.00      
8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.00      
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32.00      
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.00      
