,DESCRIPTION:_At Ease Slate Tunic,DESCRIPTION:_Basically Perfect V-Neck In Burgundy,DESCRIPTION:_Basically Perfect V-Neck In Golden Bronze,DESCRIPTION:_Black Mamba Snakeskin Leggings,DESCRIPTION:_Born To Fashion Dress Mauve  Ivory,DESCRIPTION:_Brushed Melange V-Neck Sweater In Hunter Green,DESCRIPTION:_Cactus Tshirt,DESCRIPTION:_Coffee and Ducktape,DESCRIPTION:_Drink Up Grinches,DESCRIPTION:_Fall Fantasy Striped Romper,DESCRIPTION:_Fleece Lined Leggings In Burgundy,DESCRIPTION:_Fleece Lined Leggings In Olive,DESCRIPTION:_Forever your Biggest Fan,DESCRIPTION:_I Said Yes,DESCRIPTION:_Irish Today,DESCRIPTION:_Jump For Joy Navy Jumpsuit,DESCRIPTION:_Less Talky More Coffee Tee,DESCRIPTION:_Let's Layer In Black,DESCRIPTION:_Lets Make Fireworks,DESCRIPTION:_Look Like Royalty Dress In Black,DESCRIPTION:_Make The Grade Fringed Poncho,DESCRIPTION:_Maverick -- Womens Navy T-Shirt,DESCRIPTION:_PREORDER: Moose Fashion Show Graphic Tee,DESCRIPTION:_PREORDER: Reindeer Gather Here Graphic Tee,DESCRIPTION:_PREORDER: Santa's Team Graphic Tee,DESCRIPTION:_Raglan Floral Long Sleeved Top,DESCRIPTION:_Sunflower  Sherpa  Pullover,DESCRIPTION:_Target Romance Graphic Tee,DESCRIPTION:_Whiskey Makes me Frisky,DESCRIPTION:_White Christmas Tree,DESCRIPTION:_You Glow Girl Sequin Cami In Black,DESCRIPTION:_You Glow Girl Sequin Cami In Champagne,PRICE:
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.00      
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.00      
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18.00      
3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.99      
4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.00      
5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.00      
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.00      
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20.00      
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20.00      
9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.00      
10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.00      
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24.00      
12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.00      
