,DESCRIPTION:_Adorned And Delighted Scarf,DESCRIPTION:_Better Than Donuts Tortoise Earrings,DESCRIPTION:_Camo C.C Beanie,DESCRIPTION:_Camo Pom Pom C.C Beanie,DESCRIPTION:_Confetti Beaded Earrings,DESCRIPTION:_Confetti Beaded Earrings In Black,DESCRIPTION:_Confetti Beaded Earrings In Tomato Red,DESCRIPTION:_Cork Chevron Pendant Necklace,DESCRIPTION:_Don't Leave Me Earrings In Mustard,DESCRIPTION:_Double Time Black Sandals,DESCRIPTION:_Druzy Adjustable Ring In Magenta,DESCRIPTION:_Fall And Beyond Infinity Scarf In Camel,DESCRIPTION:_Fall And Beyond Infinity Scarf In Navy,DESCRIPTION:_Leather & Lace,DESCRIPTION:_Long Striped Tying Scrunchie,DESCRIPTION:_Love Rose Gold Bracelet,DESCRIPTION:_Mad For Plaid Blanket Scarf In Wine  Sage,DESCRIPTION:_Nacho Basic Scarf In Camel,DESCRIPTION:_Nacho Basic Scarf In Fuchsia,DESCRIPTION:_No Slouch Burgundy Beanie,DESCRIPTION:_Prairie Sun,DESCRIPTION:_Rhinestone Helmet Earrings,DESCRIPTION:_Saddle Shop,DESCRIPTION:_Saddle Shop Car Freshner,DESCRIPTION:_Scarves,DESCRIPTION:_Sexy Snakeskin Belt,DESCRIPTION:_Starlet Oversized Sunglasses,DESCRIPTION:_To Bead Or Not To Bead Hoops In Natural Stone,DESCRIPTION:_To Bead Or Not To Bead In Dark Stone,DESCRIPTION:_Turquoise Heaven Pendant Necklace,DESCRIPTION:_Wood  Stone Layered Bracelet,DESCRIPTION:_Wood Filigree Teardrop Earrings,PRICE:
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.00      
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.00      
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10.00      
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10.00      
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10.00      
5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.00      
6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.00      
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.00      
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12.00      
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12.00      
10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.00      
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12.50      
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14.00      
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14.00      
14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.00      
15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.00      
16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.00      
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16.00      
18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.00      
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16.00      
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.00      
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.00      
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.00      
