,DESCRIPTION:_At Ease Slate Tunic,DESCRIPTION:_Basically Perfect V-Neck In Burgundy,DESCRIPTION:_Basically Perfect V-Neck In Golden Bronze,DESCRIPTION:_Blue Ombra bow tie,DESCRIPTION:_Born To Fashion Dress Mauve  Ivory,DESCRIPTION:_Brushed Melange V-Neck Sweater In Hunter Green,DESCRIPTION:_Creature Comforts Tunic In Forrest Green,DESCRIPTION:_Dip Dye Red Ombre Top,DESCRIPTION:_Fade Away Ombre Sports Bra,DESCRIPTION:_Falling Sleeves Embroidered Blouse,DESCRIPTION:_Honeysuckle Shirred Tunic,DESCRIPTION:_Hooded Camp Vest In Burgundy,DESCRIPTION:_I'm Full of Holiday Spirit (Its Called Vodka),DESCRIPTION:_Lace Panel Off The Shoulder Top,DESCRIPTION:_Lacy Elegance Off-White Blouse,DESCRIPTION:_Let's Layer In Black,DESCRIPTION:_Let's Layer In White,DESCRIPTION:_MAVERICK ---MENS NAVY CREW,DESCRIPTION:_PREORDER: Moose Fashion Show Graphic Tee,DESCRIPTION:_Pretty Blush Top,DESCRIPTION:_Pretty In Pink Leopard Print Halter,DESCRIPTION:_Raglan Floral Long Sleeved Top,DESCRIPTION:_Relaxed Rust Hoodie,DESCRIPTION:_Rustic Steer V- Neck Tshirt,DESCRIPTION:_Stay On The Grid Chic Plaid Jacket,DESCRIPTION:_Violette Ombra top,DESCRIPTION:_White Christmas Tree,DESCRIPTION:_Wine Because Adulting Is Hard!,DESCRIPTION:_Working For The Weekend Top In Gray,DESCRIPTION:_Working For The Weekend Top In Ivory,DESCRIPTION:_You Glow Girl Sequin Cami In Black,DESCRIPTION:_You Glow Girl Sequin Cami In Champagne,PRICE:
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.00      
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.00      
2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.00      
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19.00      
4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.99      
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20.00      
6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.00      
7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.00      
8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.00      
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24.00      
10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.00      
11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.00      
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25.00      
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.00      
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25.00      
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25.00      
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25.00      
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25.00      
18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.00      
19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.00      
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25.00      
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25.00      
22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.00      
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.00      
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27.00      
25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.00      
26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.00      
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28.00      
